protein1	protein2	neighborhood	coexpression	experimental	combined
RPS27	MCTS1	0.0	0.128	0.799	0.8094208752817553
RPS27	RPL36AL	0.135	0.672	0.971	0.9910535500896506
RPS27	RPL24	0.0	0.972	0.991	0.9997259919472078
RPS27	EIF2S3	0.0	0.223	0.957	0.9636710990006316
RPS27	PELO	0.0	0.049	0.87	0.8655729541003891
RPS27	RPSA	0.0	0.887	0.991	0.9988941817869457
RPS27	TSR1	0.0	0.068	0.894	0.8925801446371079
RPS27	RPS29	0.0	0.998	0.775	0.9995106999057283
RPS27	RPL26L1	0.0	0.674	0.769	0.9181172602239255
RPS27	SERBP1	0.0	0.514	0.944	0.9704071302984404
RPS27	RPL27A	0.0	0.993	0.994	0.9999543319912013
RPS27	FAU	0.0	0.958	0.966	0.9984472877008441
RPS27	SRP54	0.0	0.093	0.96	0.9605515390662631
RPS27	RPL23A	0.0	0.999	0.991	0.9999902139981145
RPS27	PSMC4	0.0	0.901	0.0	0.8923539792602
RPS27	RPL4	0.0	0.94	0.989	0.9992823598617346
RPS27	RPL30	0.0	0.983	0.991	0.9998336379679476
RPS27	RPS24	0.0	0.996	0.967	0.999856471972347
RPS27	RPS27A	0.0	0.968	0.96	0.9986082130651823
RPS27	RPL35	0.0	0.997	0.989	0.9999641179930867
RPS27	RPL8	0.0	0.996	0.992	0.9999652053266296
RPS27	RPS15A	0.0	0.999	0.967	0.9999641179930867
RPS27	RPL23	0.0	0.999	0.992	0.9999913013316574
RPS27	RPS6	0.0	0.997	0.991	0.9999706419943436
RPS27	SRP19	0.0	0.066	0.957	0.9563305102530116
RPS27	RPS13	0.0	0.997	0.992	0.9999739039949721
RPS27	RPL10L	0.0	0.654	0.958	0.9841988689556488
RPS27	RPL36	0.0	0.993	0.96	0.9996955466080086
RPS27	RPL38	0.0	0.998	0.994	0.9999869519974861
RPS27	EIF2S1	0.219	0.641	0.809	0.9417706911418198
RPS27	RPS9	0.0	0.912	0.991	0.9991388318340816
RPS27	EIF3H	0.0	0.477	0.794	0.8828528587629841
RPS27	DOCK4	0.0	0.355	0.73	0.8106408635168063
RPS27	EIF1	0.0	0.408	0.96	0.974251941705874
RPS27	RPL37A	0.0	0.956	0.96	0.9980862929646257
RPS27	RPS10-NUDT3	0.0	0.639	0.958	0.9835138488236682
RPS27	DENR	0.0	0.113	0.877	0.881370823144112
RPS27	RPL35A	0.0	0.993	0.991	0.9999314979868019
RPS27	RPS23	0.0	0.994	0.994	0.9999608559924582
RPS27	EIF1AX	0.0	0.191	0.96	0.964813886554142
RPS27	EIF3I	0.0	0.521	0.731	0.8598959856732933
RPS27	EIF3A	0.0	0.337	0.731	0.8060773246375645
RPS27	SEC61B	0.0	0.311	0.96	0.9700330875597082
RPS27	AC138811.2	0.0	0.485	0.731	0.8493662476445638
RPS27	RPL36A	0.135	0.702	0.956	0.9876675934372897
RPS27	RPL22L1	0.0	0.66	0.723	0.8975949269366226
RPS27	RPL32	0.0	0.956	0.96	0.9980862929646257
RPS27	RPS7	0.0	0.999	0.992	0.9999913013316574
RPS27	RPL10A	0.0	0.998	0.991	0.9999804279962291
RPS27	EIF3E	0.0	0.507	0.96	0.9785577825354661
RPS27	LTV1	0.0	0.066	0.96	0.9593772188400107
RPS27	SRP9	0.0	0.228	0.875	0.8950723131172656
RPS27	RPS25	0.0	0.998	0.994	0.9999869519974861
RPS27	RPS14	0.0	0.998	0.991	0.9999804279962291
RPS27	RPL5	0.0	0.998	0.992	0.9999826026633148
RPS27	RPL39L	0.0	0.648	0.732	0.8974253029039416
RPS27	RPL15	0.0	0.99	0.991	0.9999021399811456
RPS27	EIF3M	0.0	0.378	0.958	0.9715944985272066
RPS27	RPS16	0.0	0.993	0.991	0.9999314979868019
RPS27	AC245033.1	0.0	0.64	0.732	0.8950940597881222
RPS27	RPS12	0.0	0.997	0.966	0.9998890919786317
RPS27	RPS20	0.0	0.994	0.96	0.9997390399497217
RPS27	RPL22	0.0	0.902	0.994	0.9993606478768181
RPS27	RPS21	0.0	0.979	0.96	0.999086639824026
RPS27	WDR31	0.0	0.637	0.731	0.8938251415436439
RPS27	RPLP0	0.0	0.986	0.992	0.9998782186432035
RPS27	RPLP1	0.0	0.997	0.96	0.999869519974861
RPS27	RPL14	0.0	0.958	0.989	0.9994976519032143
RPS27	RPL12	0.0	0.991	0.991	0.999911925983031
RPS27	RPL9	0.0	0.997	0.992	0.9999739039949721
RPS27	RPS8	0.0	0.997	0.992	0.9999739039949721
RPS27	EEF2	0.0	0.432	0.944	0.9654140946697822
RPS27	RPL13A	0.0	0.996	0.989	0.9999521573241157
RPS27	UBA52	0.0	0.856	0.96	0.9937369587933207
RPS27	RPS10	0.0	0.995	0.962	0.999793406626863
RPS27	RPL18	0.0	0.91	0.989	0.998923539792602
RPS27	GSPT1	0.0	0.178	0.87	0.8838075376135854
RPS27	RPL19	0.0	0.998	0.96	0.9999130133165739
RPS27	RPL26	0.0	0.994	0.96	0.9997390399497217
RPS27	RSRC1	0.0	0.476	0.731	0.8467338131373814
RPS27	TPT1	0.0	0.928	0.0	0.9217119849165092
RPS27	RPS26	0.0	0.989	0.967	0.9996052979239541
RPS27	MRPS7	0.0	0.469	0.731	0.8446863640762394
RPS27	EEF1A1	0.0	0.549	0.961	0.9808748903152288
RPS27	RPL37	0.0	0.883	0.96	0.9949112790195731
RPS27	RPS2	0.0	0.942	0.991	0.9994324118906447
RPS27	EIF2D	0.0	0.068	0.885	0.8834595908798812
RPS27	RPS19	0.179	0.998	0.991	0.9999839313849042
RPS27	RPL29	0.0	0.984	0.949	0.9991127358290537
RPS27	RPS15	0.0	0.963	0.992	0.9996781492713234
RPS27	RPL3L	0.0	0.645	0.732	0.8965510867355093
RPS27	RPS5	0.0	0.996	0.967	0.999856471972347
RPS27	RPS11	0.0	0.999	0.991	0.9999902139981145
RPS27	RPL6	0.0	0.99	0.989	0.9998803933102891
RPS27	RPL17-C18orf32	0.0	0.573	0.956	0.9795711773973802
VENTX	TLE4	0.0	0.0	0.824	0.8086292964625778
VENTX	AES	0.0	0.0	0.872	0.8608213065182383
ZUP1	UBC	0.0	0.061	0.825	0.8213239155750744
CRTC2	CREB1	0.0	0.0	0.967	0.9641179930867333
TCERG1L	DDX46	0.0	0.329	0.734	0.8059261852751117
GLRX3	BOLA1	0.111	0.064	0.908	0.9167607376905688
GLRX3	OSGEP	0.0	0.063	0.837	0.8339304606706021
GLRX3	TBC1D23	0.0	0.0	0.976	0.9739039949721697
GLRX3	CIAPIN1	0.0	0.067	0.969	0.9685510519408359
GLRX3	API5	0.0	0.047	0.859	0.8538917298498065
MKI67	TPX2	0.0	0.852	0.0	0.839074635661713
MKI67	CDK1	0.0	0.841	0.379	0.8926377733148777
MKI67	TOP2A	0.0	0.966	0.0	0.963030659543907
MKI67	KIF15	0.0	0.904	0.379	0.9351775235108695
MKI67	NDC80	0.0	0.883	0.0	0.8727819754893273
MKI67	RRM2	0.0	0.923	0.0	0.9162753172023778
MKI67	CKAP2	0.0	0.926	0.0	0.9195373178308567
MKI67	CENPF	0.0	0.931	0.0	0.9249739855449879
MKI67	E2F8	0.0	0.87	0.0	0.8586466394325858
MKI67	TTK	0.0	0.937	0.0	0.9314979868019455
MKI67	NIFK	0.0	0.065	0.87	0.8678346078694678
MKI67	ARHGAP11A	0.0	0.875	0.0	0.8640833071467172
MKI67	CDCA8	0.0	0.922	0.0	0.9151879836595516
MKI67	HJURP	0.0	0.919	0.0	0.9119259830310728
MKI67	ASPM	0.0	0.927	0.0	0.9206246513736829
MKI67	UBE2C	0.0	0.846	0.0	0.8325506344047555
MKI67	BUB1	0.0	0.942	0.0	0.9369346545160767
MKI67	CEP55	0.0	0.916	0.0	0.9086639824025939
MKI67	NCAPG	0.0	0.887	0.0	0.8771313096606324
MKI67	KIF20A	0.0	0.91	0.0	0.9021399811456364
MKI67	SMC4	0.0	0.919	0.0	0.9119259830310728
MKI67	KIF11	0.0	0.959	0.0	0.9554193247441232
MKI67	DLGAP5	0.0	0.925	0.0	0.9184499842880304
MKI67	KIF2C	0.0	0.904	0.0	0.8956159798886787
MKI67	CDC20	0.0	0.94	0.0	0.9347599874304242
MKI67	NUSAP1	0.0	0.965	0.0	0.9619433260010807
MKI67	CCNA2	0.0	0.922	0.0	0.9151879836595516
MKI67	PBK	0.0	0.869	0.0	0.8575593058897596
MKI67	CENPE	0.0	0.955	0.0	0.9510699905728182
MKI67	BIRC5	0.0	0.841	0.0	0.8271139666906242
MKI67	PRC1	0.0	0.819	0.0	0.8031926287484463
MKI67	SPAG5	0.0	0.887	0.0	0.8771313096606324
MKI67	KIF4A	0.0	0.867	0.0	0.855384638804107
MKI67	CCNB2	0.0	0.859	0.0	0.8466859704614969
MKI67	ESPL1	0.0	0.91	0.0	0.9021399811456364
MKI67	TROAP	0.0	0.847	0.0	0.8336379679475818
MKI67	KIF18B	0.0	0.89	0.0	0.8803933102891112
MKI67	BUB1B	0.0	0.92	0.0	0.913013316573899
MKI67	MIS18BP1	0.0	0.853	0.0	0.8401619692045393
MKI67	FOXM1	0.0	0.937	0.0	0.9314979868019455
GATAD2B	RBBP4	0.0	0.082	0.823	0.8233235219603318
GATAD2B	MTA3	0.0	0.069	0.983	0.9827907720176888
GATAD2B	CDK2AP1	0.0	0.072	0.834	0.8324984423947
GATAD2B	MTA2	0.0	0.162	0.89	0.8997695940222752
GATAD2B	MBD3L1	0.0	0.0	0.876	0.8651706406895435
GATAD2B	CHD4	0.0	0.132	0.849	0.8574853672088474
GATAD2B	CHD5	0.0	0.0	0.849	0.8358126350332343
GATAD2B	MBD3	0.0	0.101	0.984	0.9843597943199871
GATAD2B	HDAC2	0.0	0.052	0.813	0.8072418588619314
GATAD2B	CHD3	0.0	0.075	0.906	0.9054563484512564
GATAD2B	MTA1	0.0	0.062	0.897	0.8949483570933835
GATAD2B	GATAD2A	0.0	0.18	0.952	0.9572025517543583
GATAD2B	PHF20L1	0.0	0.0	0.845	0.8314633008619292
GATAD2B	MBD2	0.0	0.062	0.975	0.9745020284207241
TUBE1	TUBD1	0.0	0.064	0.855	0.8524270915676196
TUBE1	TEDC2	0.0	0.0	0.881	0.8706073084036748
NPR1	NPPA	0.0	0.0	0.831	0.8162406312623616
CHTOP	HNRNPA2B1	0.0	0.899	0.0	0.8901793121745475
CHTOP	ERH	0.0	0.918	0.294	0.937052086538702
CHTOP	PTBP1	0.0	0.851	0.0	0.8379873021188867
CHTOP	DDX39A	0.0	0.179	0.798	0.819674430590607
CHTOP	HNRNPR	0.0	0.9	0.264	0.9199722512479871
CHTOP	DDX39B	0.0	0.907	0.722	0.9718880785837698
CHTOP	HNRNPL	0.0	0.903	0.0	0.8945286463458526
CHTOP	HNRNPH1	0.0	0.901	0.0	0.8923539792602
CHTOP	HNRNPK	0.0	0.903	0.0	0.8945286463458526
CHTOP	ELAVL1	0.0	0.904	0.0	0.8956159798886787
CHTOP	SNRPD2	0.0	0.873	0.0	0.8619086400610645
CHTOP	MATR3	0.0	0.905	0.0	0.896703313431505
CHTOP	HNRNPA1	0.0	0.899	0.0	0.8901793121745475
CHTOP	SRSF1	0.0	0.853	0.0	0.8401619692045393
S100A14	S100A16	0.0	0.614	0.644	0.8505829738789863
S100A16	S100A14	0.0	0.614	0.644	0.8505829738789863
S100A16	OXCT1	0.0	0.0	0.821	0.8053672958340988
S100A16	SUCLG1	0.0	0.0	0.82	0.8042799622912725
S100A16	SEC22B	0.0	0.0	0.817	0.8010179616627938
S100A2	S100A3	0.0	0.331	0.791	0.8479679367084891
S100A3	S100A10	0.0	0.098	0.798	0.8018834791628837
S100A3	S100A2	0.0	0.331	0.791	0.8479679367084891
S100A4	S100A1	0.0	0.103	0.82	0.8244391261752716
S100A4	ANXA2	0.0	0.2	0.964	0.9686847939666036
S100A4	SUGT1	0.0	0.0	0.82	0.8042799622912725
S100A4	SNRPF	0.0	0.0	0.82	0.8042799622912725
S100A6	CACYBP	0.0	0.0	0.818	0.80210529520562
S100A6	AGER	0.0	0.0	0.86	0.8477733040043232
S100A8	S100A9	0.0	0.995	0.877	0.9993312898711618
S100A8	S100A12	0.0	0.983	0.085	0.9830865267413375
S100A12	S100A9	0.0	0.927	0.0	0.9206246513736829
S100A12	S100A8	0.0	0.983	0.085	0.9830865267413375
S100A9	S100A12	0.0	0.927	0.0	0.9206246513736829
S100A9	S100A8	0.0	0.995	0.877	0.9993312898711618
BCCIP	RBM34	0.0	0.848	0.0	0.834725301490408
BCCIP	PNO1	0.0	0.867	0.0	0.855384638804107
BCCIP	MAK16	0.0	0.842	0.0	0.8282013002334505
BCCIP	RRS1	0.0	0.859	0.0	0.8466859704614969
BCCIP	ABT1	0.0	0.825	0.0	0.809716630005404
BCCIP	TSR2	0.0	0.829	0.0	0.8140659641767091
BCCIP	WDR12	0.0	0.895	0.0	0.8858299780032425
BCCIP	IMP4	0.0	0.854	0.0	0.8412493027473656
BCCIP	RSL1D1	0.0	0.84	0.0	0.8260266331477979
BCCIP	RPF2	0.0	0.863	0.0	0.851035304632802
BCCIP	EBNA1BP2	0.0	0.874	0.0	0.8629959736038909
BCCIP	NIFK	0.0	0.862	0.0	0.8499479710899758
BCCIP	TWISTNB	0.0	0.826	0.0	0.8108039635482303
BCCIP	UTP11	0.0	0.841	0.0	0.8271139666906242
BCCIP	AATF	0.0	0.832	0.0	0.8173279648051878
BCCIP	NHP2	0.0	0.85	0.0	0.8368999685760606
BCCIP	PUM3	0.0	0.831	0.0	0.8162406312623616
BCCIP	DDX52	0.0	0.824	0.0	0.8086292964625778
BCCIP	NIP7	0.0	0.907	0.0	0.8988779805171576
BCCIP	GNL3	0.0	0.712	0.795	0.9358038276315375
BCCIP	CRCP	0.0	0.064	0.842	0.8391964170185097
BCCIP	NSA2	0.0	0.849	0.0	0.8358126350332343
BCCIP	BUD23	0.0	0.834	0.0	0.8195026318908404
BCCIP	MRTO4	0.0	0.855	0.0	0.8423366362901918
BCCIP	DDX55	0.0	0.844	0.05	0.8388571689531479
BCCIP	NOP53	0.0	0.825	0.0	0.809716630005404
BCCIP	DIMT1	0.0	0.856	0.0	0.8434239698330182
BCCIP	DDX24	0.0	0.72	0.41	0.8203724987251013
BCCIP	ESF1	0.0	0.843	0.0	0.8292886337762767
BCCIP	KRR1	0.0	0.884	0.0	0.8738693090321535
BCCIP	RPF1	0.0	0.885	0.0	0.8749566425749797
BCCIP	PES1	0.0	0.857	0.0	0.8445113033758445
BCCIP	NMD3	0.0	0.832	0.144	0.8436327378732408
BCCIP	POLR3E	0.0	0.108	0.86	0.8642137871718563
BCCIP	NGDN	0.0	0.853	0.0	0.8401619692045393
BCCIP	LYAR	0.0	0.858	0.0	0.8455986369186707
BCCIP	NOL10	0.0	0.818	0.0	0.80210529520562
BCCIP	UTP23	0.0	0.864	0.0	0.8521226381756283
BCCIP	NOP2	0.0	0.817	0.051	0.8111660456179913
BCCIP	GRWD1	0.0	0.817	0.387	0.8780240104992926
BCCIP	BRIX1	0.0	0.871	0.0	0.859733972975412
BCCIP	NOP16	0.0	0.922	0.0	0.9151879836595516
SPRR1A	SPRR1B	0.0	0.865	0.0	0.8532099717184545
LCE1E	LCE1B	0.0	0.391	0.742	0.829155979084052
LCE2A	LCE2B	0.0	0.459	0.75	0.852938138332748
LCE2B	LCE2A	0.0	0.459	0.75	0.852938138332748
LCE2B	LCE2C	0.0	0.771	0.26	0.8157404578326615
LCE2B	LCE1A	0.0	0.527	0.671	0.8307924160660054
LCE2B	LCE2D	0.0	0.771	0.747	0.9370031565292748
LCE2C	LCE2D	0.0	0.771	0.256	0.8147444603074326
LCE2C	LCE2B	0.0	0.771	0.26	0.8157404578326615
LCE2D	LCE2B	0.0	0.771	0.747	0.9370031565292748
LCE2D	LCE2C	0.0	0.771	0.256	0.8147444603074326
S100A10	S100A3	0.0	0.098	0.798	0.8018834791628837
S100A10	HLTF	0.0	0.0	0.97	0.9673799937152121
S100A10	ANXA2	0.0	0.759	0.538	0.8789341086746383
S100A10	AHNAK	0.0	0.154	0.97	0.9724034746830694
S100A10	NNMT	0.0	0.941	0.0	0.9358473209732505
S100A10	CAVIN1	0.0	0.943	0.0	0.938021988058903
S100A10	FHL2	0.0	0.944	0.0	0.9391093216017292
MRPL9	MRPL19	0.0	0.698	0.989	0.9963878779707313
MRPL9	RPS18	0.072	0.376	0.734	0.8325145871231437
MRPL9	IMP3	0.219	0.203	0.715	0.807106763105903
MRPL9	MRPS10	0.046	0.52	0.94	0.9701252934441399
MRPL9	MRPS22	0.0	0.137	0.829	0.8395389270844998
MRPL9	AC139530.2	0.054	0.498	0.853	0.9240941978794821
MRPL9	DAP3	0.0	0.304	0.827	0.8690763427753754
MRPL9	MRPS18B	0.0	0.156	0.829	0.8430716737651424
MRPL9	RPS3	0.0	0.459	0.734	0.8435261791860439
MRPL9	MRPS23	0.0	0.328	0.827	0.87359095164519
MRPL9	MRPS14	0.0	0.218	0.94	0.9489823101705916
MRPL9	MRPL38	0.0	0.241	0.972	0.9768919875478562
MRPL9	MRPL22	0.0	0.404	0.957	0.9721338159644486
MRPL9	MRPL18	0.0	0.723	0.972	0.9915666410418394
MRPL9	MRPS28	0.0	0.211	0.8	0.8284187669420158
MRPL9	RPL11	0.0	0.459	0.734	0.8435261791860439
MRPL9	MRPL11	0.127	0.607	0.989	0.9958964260433781
MRPL9	CHCHD1	0.0	0.146	0.829	0.8412123334069096
MRPL9	MRPL58	0.0	0.315	0.95	0.9627588261582004
MRPL9	MRPL52	0.0	0.091	0.91	0.9110452428613834
MRPL9	MRPL43	0.0	0.383	0.912	0.9409621379587053
MRPL9	MRPL50	0.0	0.161	0.945	0.9498249936662821
MRPL9	MRPL48	0.0	0.192	0.891	0.9042363602162055
MRPL9	MRPS25	0.0	0.108	0.8	0.8060196959597947
MRPL9	MRPL47	0.0	0.169	0.971	0.9737963489514299
MRPL9	MRPS9	0.0	0.696	0.944	0.9814892337669257
MRPL9	MRPS6	0.295	0.661	0.944	0.9854474323162054
MRPL9	MRPL12	0.054	0.501	0.856	0.9260876586555555
MRPL9	MRPL45	0.0	0.163	0.97	0.9726970547396324
MRPL9	MRPL23	0.0	0.466	0.851	0.9134852193314855
MRPL9	MRPS11	0.059	0.178	0.94	0.949536719797408
MRPL9	MALSU1	0.239	0.223	0.8	0.8714125876254919
MRPL9	MRPL15	0.0	0.693	0.989	0.9963280746258757
MRPL9	MRPL27	0.042	0.727	0.952	0.9863500148421029
MRPL9	MRPL55	0.0	0.157	0.842	0.8551736960967987
MRPL9	MRPL33	0.079	0.303	0.951	0.9657980180084181
MRPL9	MRPL40	0.0	0.156	0.967	0.9697155861652029
MRPL9	MRPL24	0.0	0.701	0.991	0.9970739854362546
MRPL9	SCFD1	0.0	0.048	0.866	0.8612910346087393
MRPL9	RPL27A	0.0	0.463	0.709	0.8300856492631684
MRPL9	RPL23A	0.045	0.357	0.734	0.822393536454488
MRPL9	MRPS18C	0.0	0.149	0.819	0.8325169270649279
MRPL9	MRPL4	0.042	0.544	0.988	0.9943000061978012
MRPL9	MRPL17	0.071	0.709	0.991	0.997354462036293
MRPL9	RPL35	0.0	0.48	0.735	0.850165437798541
MRPL9	MRPL35	0.0	0.22	0.875	0.8939849795744395
MRPL9	RPL8	0.043	0.348	0.708	0.8018905598789146
MRPL9	RPS13	0.045	0.475	0.713	0.8435385476050934
MRPL9	MRPS30	0.0	0.127	0.947	0.9496901643069716
MRPL9	RPS9	0.219	0.177	0.715	0.8008141355535234
MRPL9	PTCD3	0.0	0.057	0.829	0.8246642042186367
MRPL9	MRPL1	0.126	0.473	0.86	0.9298846882777833
MRPL9	MRTO4	0.06	0.352	0.715	0.8112397668321949
MRPL9	MRPS12	0.081	0.264	0.94	0.95587269933814
MRPL9	MRPS24	0.0	0.276	0.829	0.8653837580639373
MRPL9	MRPS31	0.0	0.081	0.829	0.8291266210783956
MRPL9	MRPL3	0.042	0.706	0.991	0.9972437529969631
MRPL9	GADD45GIP1	0.0	0.098	0.85	0.8528837716556067
MRPL9	MRPL51	0.0	0.266	0.897	0.9177954094952488
MRPL9	MRPL54	0.0	0.254	0.815	0.8499370977545474
MRPL9	MRPS26	0.0	0.288	0.829	0.8676149664938169
MRPL9	MRPL16	0.0	0.378	0.956	0.9702418555999308
MRPL9	RPL10A	0.126	0.476	0.714	0.8575798173497113
MRPL9	MRPL42	0.0	0.162	0.933	0.9389505709044768
MRPL9	RPL5	0.0	0.344	0.734	0.8102646461109885
MRPL9	MRPL34	0.0	0.091	0.899	0.9001729947666637
MRPL9	MRPS18A	0.0	0.189	0.912	0.9223991797155753
MRPL9	MRPS35	0.0	0.39	0.829	0.8865802381477925
MRPL9	MRPL36	0.06	0.258	0.944	0.9575299696307741
MRPL9	MRPS33	0.0	0.281	0.829	0.8663134282430538
MRPL9	AC092647.5	0.0	0.063	0.845	0.8420811129076277
MRPL9	RPS20	0.046	0.506	0.713	0.8529313838167799
MRPL9	RPLP0	0.06	0.353	0.715	0.8115310634883182
MRPL9	MRPL2	0.043	0.326	0.991	0.9936878526358597
MRPL9	RPL12	0.127	0.504	0.709	0.8629901802907747
MRPL9	RPL9	0.0	0.51	0.734	0.858276946028025
MRPL9	MRPS17	0.0	0.146	0.845	0.8560696589360876
MRPL9	MRPL20	0.167	0.278	0.971	0.981035430763493
MRPL9	MRPL46	0.0	0.487	0.974	0.9854971452057834
MRPL9	MRPL21	0.045	0.654	0.971	0.9895806589458737
MRPL9	RPL13A	0.0	0.484	0.709	0.8367303445433797
MRPL9	AURKAIP1	0.0	0.086	0.814	0.815148948385364
MRPL9	MRPL32	0.0	0.407	0.99	0.9935521120910402
MRPL9	MRPL28	0.0	0.211	0.971	0.9751207212065922
MRPL9	MRPS16	0.0	0.477	0.944	0.9681541751977044
MRPL9	MRPL39	0.046	0.249	0.857	0.8885995013488373
MRPL9	MRPL53	0.0	0.165	0.914	0.9219185782896461
MRPL9	MRPL44	0.06	0.32	0.966	0.9763691975804653
MRPL9	NDUFAB1	0.295	0.272	0.8	0.8883873864959698
MRPL9	MRPS15	0.045	0.51	0.94	0.969470936118067
MRPL9	MRPS2	0.0	0.447	0.907	0.9440795232259881
MRPL9	MRPS7	0.13	0.305	0.94	0.9605526263998061
MRPL9	MRPL14	0.0	0.245	0.85	0.8768594762749257
MRPL9	MRPL49	0.0	0.283	0.912	0.9313936027818341
MRPL9	MRPS5	0.0	0.447	0.94	0.9639222730490247
MRPL9	RPS2	0.0	0.43	0.713	0.8221231057290517
MRPL9	MRPL57	0.0	0.195	0.8	0.8249392996049717
MRPL9	MRPL30	0.0	0.171	0.911	0.9197754438767355
MRPL9	MRPL13	0.0	0.577	0.989	0.9949406370252294
MRPL9	RPS15	0.0	0.492	0.734	0.8530707930249728
MRPL9	MRPL37	0.0	0.131	0.969	0.9707083216898033
MRPL9	RPS5	0.13	0.28	0.713	0.8045226551380315
MRPL9	RPS11	0.0	0.54	0.734	0.8669538676997786
MRPL9	MRPL41	0.0	0.137	0.962	0.9643419837965554
OAT	ALDH18A1	0.383	0.081	0.707	0.819352863655985
OAT	PITPNB	0.0	0.0	0.822	0.8064546293769251
OAT	ALDH1B1	0.075	0.093	0.802	0.8193753594996527
BUB3	CDK1	0.0	0.867	0.08	0.8669538676997784
BUB3	ANAPC1	0.0	0.086	0.929	0.9294385770718325
BUB3	DUT	0.0	0.855	0.0	0.8423366362901918
BUB3	RNPS1	0.0	0.834	0.116	0.8404403265915029
BUB3	CDC26	0.0	0.0	0.929	0.9227993184593355
BUB3	ANAPC5	0.0	0.14	0.929	0.9336074138750284
BUB3	CDC16	0.0	0.201	0.93	0.9391854349497272
BUB3	MAD2L1	0.0	0.731	0.995	0.9985375363848987
BUB3	SAE1	0.0	0.834	0.0	0.8195026318908404
BUB3	ANAPC4	0.0	0.11	0.993	0.9932259120281924
BUB3	BUB1	0.0	0.233	0.891	0.909095653819096
BUB3	ZNF207	0.0	0.147	0.866	0.8757156013878725
BUB3	PCNA	0.0	0.869	0.0	0.8575593058897596
BUB3	CDC5L	0.0	0.218	0.98	0.9829941033901973
BUB3	CDC20	0.0	0.489	0.993	0.9961106079173105
BUB3	CDC27	0.0	0.127	0.993	0.9933553047197887
BUB3	CDC23	0.0	0.252	0.929	0.9422538902075829
BUB3	BUB1B	0.0	0.204	0.998	0.9982689649998205
BUB3	RFC3	0.0	0.853	0.064	0.8503916031754489
GTF3C6	GTF3C3	0.0	0.0	0.936	0.9304106532591193
GTF3C6	GTF3C5	0.0	0.0	0.938	0.9325853203447716
GTF3C6	CPSF2	0.0	0.0	0.82	0.8042799622912725
GTF3C6	GTF3C2	0.0	0.0	0.945	0.9401966551445555
GTF3C6	GTF3C4	0.0	0.0	0.859	0.8466859704614969
PI4KB	RAB11A	0.0	0.0	0.873	0.8619086400610645
PSMD4	PSMB9	0.0	0.729	0.907	0.9725959327201497
PSMD4	PSMC5	0.0	0.889	0.992	0.9990344478139702
PSMD4	PSMD5	0.0	0.068	0.821	0.8186023197173802
PSMD4	PSMA3	0.0	0.927	0.991	0.9992856218623631
PSMD4	PSMC2	0.0	0.85	0.992	0.9986951997486084
PSMD4	KIAA2012	0.0	0.642	0.736	0.8972339322004043
PSMD4	UBLCP1	0.0	0.536	0.73	0.8637788537547259
PSMD4	PSMB2	0.0	0.664	0.991	0.9967119033664934
PSMD4	RAD23B	0.0	0.118	0.971	0.9721881826415898
PSMD4	RAD23A	0.0	0.097	0.974	0.9744715830815249
PSMD4	PSMD1	0.0	0.713	0.991	0.9971914174588798
PSMD4	PSMD10	0.0	0.134	0.992	0.9924669532152997
PSMD4	UBQLN4	0.0	0.153	0.821	0.8351460995714818
PSMD4	PSMD11	0.0	0.684	0.992	0.9972512208037352
PSMD4	PSMB3	0.0	0.725	0.99	0.9970098327572278
PSMD4	PSMB4	0.0	0.777	0.991	0.9978177215795476
PSMD4	PSMB6	0.0	0.81	0.989	0.9977274728954931
PSMD4	PSMC3	0.0	0.887	0.991	0.9988941817869457
PSMD4	PSMD9	0.0	0.166	0.808	0.8258874544543162
PSMD4	UBB	0.0	0.064	0.94	0.938935348234877
PSMD4	PSMD8	0.0	0.894	0.994	0.9993084558667625
PSMD4	PSMD3	0.0	0.874	0.992	0.9989039677888312
PSMD4	PSMD12	0.0	0.763	0.992	0.9979384156028014
PSMD4	PSMB10	0.0	0.542	0.95	0.9751000618692786
PSMD4	PSMB11	0.0	0.633	0.732	0.8930542220617801
PSMD4	PSMD13	0.0	0.841	0.972	0.9951591910673375
PSMD4	PSMA6	0.0	0.835	0.992	0.9985647197234694
PSMD4	PSMA5	0.0	0.957	0.992	0.9996259572612678
PSMD4	PSMB1	0.0	0.843	0.991	0.9984635977039865
PSMD4	PSMD7	0.0	0.893	0.991	0.9989528977982582
PSMD4	PSMC4	0.0	0.876	0.994	0.9991910238441373
PSMD4	UBFD1	0.0	0.53	0.705	0.8492412042871387
PSMD4	USP14	0.0	0.881	0.978	0.9971533607848808
PSMD4	PSMD6	0.0	0.844	0.96	0.9932150386927641
PSMD4	PSMD14	0.0	0.862	0.992	0.9987995837687198
PSMD4	PSMA1	0.0	0.946	0.992	0.9995302719094991
PSMD4	UBC	0.0	0.064	0.94	0.938935348234877
PSMD4	PSMB8	0.0	0.658	0.946	0.9799191241310845
PSMD4	PSMA7	0.0	0.791	0.992	0.9981819783163945
PSMD4	TXNL1	0.0	0.817	0.328	0.8662840702373974
PSMD4	PSMB7	0.0	0.687	0.989	0.9962563106120492
PSMD4	PSMA4	0.0	0.924	0.991	0.9992562638567069
PSMD4	UBQLN1	0.0	0.274	0.821	0.8586966567755557
PSMD4	PSMC1	0.0	0.915	0.992	0.9992606131908781
PSMD4	ADRM1	0.0	0.753	0.953	0.9873771449013299
